readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.023018785193562506, u'xMag': -23.699997, u'azimuth': 2.0832147598266602, u'zforce': 9.8318549999999991, u'yforce': 0.22303619999999999, u'time': 1413158163.0510001, u'yMag': -14.099990999999999, u'zMag': -45.299987999999999, u'roll': -0.011128846742212772, u'xforce': 0.121846616} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.04206027090549469, u'xMag': -24, u'azimuth': 2.0001912355422973, u'zforce': 9.7556630000000002, u'yforce': 0.41388932, u'time': 1413158165.0209999, u'yMag': -12.899994, u'zMag': -44.099989999999998, u'roll': 0.0023466866929084062, u'xforce': -0.029189300000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034352035075426099, u'xMag': -23.699997, u'azimuth': 2.0449834346771238, u'zforce': 9.8457760000000007, u'yforce': 0.36015104999999997, u'time': 1413158167.0569999, u'yMag': -13.799988000000001, u'zMag': -44.399994, u'roll': 0.0047012774273753168, u'xforce': -0.059426422999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.032164077088236806, u'xMag': -24, u'azimuth': 2.027119016647339, u'zforce': 9.8299079999999996, u'yforce': 0.30117371999999998, u'time': 1413158169.0929999, u'yMag': -13.199997, u'zMag': -43.799987999999999, u'roll': 0.00025697788223624232, u'xforce': 0.041463777} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034697953239083291, u'xMag': -23.699997, u'azimuth': 2.0087659835815428, u'zforce': 9.8182329999999993, u'yforce': 0.29428803999999997, u'time': 1413158171.1240001, u'yMag': -12.599990999999999, u'zMag': -44.699997000000003, u'roll': -0.0029284629970788957, u'xforce': 0.017064513999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.036123772710561754, u'xMag': -24.599989999999998, u'azimuth': 1.9997313737869262, u'zforce': 9.9077459999999995, u'yforce': 0.37556899999999999, u'time': 1413158173.132, u'yMag': -12.899994, u'zMag': -44.099989999999998, u'roll': 0.0021574195940047502, u'xforce': 0.0076341246999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.035041048377752307, u'xMag': -23.399994, u'azimuth': 2.0112690448760988, u'zforce': 9.6053750000000004, u'yforce': 0.33769774000000002, u'time': 1413158175.5109999, u'yMag': -12.599990999999999, u'zMag': -44.699997000000003, u'roll': -0.00017390105640515685, u'xforce': 0.0076341246999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.038454843312501909, u'xMag': -23.099989999999998, u'azimuth': 2.0174296855926515, u'zforce': 9.8694269999999999, u'yforce': 0.37631744, u'time': 1413158177.546, u'yMag': -12.899994, u'zMag': -44.099989999999998, u'roll': 0.0065477035939693453, u'xforce': -0.067958679999999994} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034619386494159701, u'xMag': -24.599989999999998, u'azimuth': 2.0627860069274901, u'zforce': 9.7933850000000007, u'yforce': 0.33784744, u'time': 1413158179.563, u'yMag': -14.699997, u'zMag': -44.099989999999998, u'roll': -0.00085582134779542689, u'xforce': 0.008382568} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.041681468486785889, u'xMag': -26.099989999999998, u'azimuth': 1.9971680402755738, u'zforce': 9.9002619999999997, u'yforce': 0.43664199999999997, u'time': 1413158181.573, u'yMag': -13.799988000000001, u'zMag': -44.099989999999998, u'roll': 0.0049789527198299769, u'xforce': -0.015567627000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.039029721170663834, u'xMag': -23.699997, u'azimuth': 2.0755595207214355, u'zforce': 9.9760050000000007, u'yforce': 0.34293687, u'time': 1413158183.6389999, u'yMag': -14.699997, u'zMag': -44.699997000000003, u'roll': -0.0063709649257361889, u'xforce': 0.048499145} 
